rating,imagenum,nameverified,verified,Topic1,Topic2,Topic3,Topic4,Topic5,Sentiment,Length,Sentences,readability,SummaryLength,SummarySentiment,score
5.0,0,0.0,1,0.1815200001001358,0.1329900026321411,0.2524699866771698,0.05626000091433525,0.3767699897289276,0.9981,780,1,-703.31,5,0.6369,2567.0
5.0,0,0.0,1,0.21473999321460724,0.1379300057888031,0.2437400072813034,0.059369999915361404,0.3442099988460541,0.8232,267,1,-182.62,4,0.6369,2540.0
4.0,0,0.0,1,0.1776300072669983,0.16719000041484833,0.2471799999475479,0.05737999826669693,0.350629985332489,0.9947,917,15,34.84,4,0.25,2524.0
5.0,0,0.0,1,0.1979299932718277,0.13864000141620636,0.24873000383377075,0.06086000055074692,0.3538399934768677,0.6369,2,1,120.21,2,0.0,275.0
5.0,0,0.0,1,0.20036999881267548,0.13742999732494354,0.24683000147342682,0.06032999977469444,0.3550499975681305,0.4753,16,1,80.62,2,0.0,275.0
5.0,0,0.0,1,0.1894800066947937,0.14010000228881836,0.2513499855995178,0.061500001698732376,0.35756999254226685,0.0,3,1,93.81,2,0.0,275.0
5.0,0,0.0,1,0.1815599948167801,0.13620999455451965,0.2749499976634979,0.058889999985694885,0.34839001297950745,0.963,61,1,26.48,7,0.4574,275.0
4.0,0,0.0,1,0.19351999461650848,0.13760000467300415,0.24708999693393707,0.060350000858306885,0.36142998933792114,0.0,13,1,83.66,2,0.4466,275.0
5.0,0,0.0,1,0.18704000115394592,0.13669000566005707,0.2632800042629242,0.06413999944925308,0.3488500118255615,0.9001,31,1,82.31,11,0.6124,275.0
5.0,0,0.0,1,0.199180006980896,0.13691000640392303,0.24634000658988953,0.060100000351667404,0.357479989528656,0.6369,21,2,111.58,5,0.8555,275.0
5.0,0,0.0,1,0.1882299929857254,0.14094999432563782,0.2651900053024292,0.0595100000500679,0.3461199998855591,0.9532,46,1,50.17,7,0.802,316.5
5.0,0,0.0,1,0.1862500011920929,0.13642999529838562,0.24852000176906586,0.059790000319480896,0.3690199851989746,0.8775,59,2,66.91,18,0.9151,316.5
